#No.	Label Name:	R	G	B	A
#	
1120	ctx-lh-G_orbital	220 60  20  0
1121	ctx-lh-G_paracentral	60  100 60  0
1122	ctx-lh-G_parietal_inferior-A	ngular_part	20  60  220 0
1123	ctx-lh-G_parietal_inferior-S	upramarginal	_pa	rt	100 100 60  0
1124	ctx-lh-G_parietal_superior	220 180 220 0
1125	ctx-lh-G_postcentral	20  180 140 0
1126	ctx-lh-G_precentral	60  140 180 0
1127	ctx-lh-G_precuneus	25  20  140 0
1128	ctx-lh-G_rectus	20  60  100 0
1129	ctx-lh-G_subcallosal	60  220 20  0
1130	ctx-lh-G_subcentral	60  20  220 0
1131	ctx-lh-G_temporal_inferior	220 220 100 0
1132	ctx-lh-G_temporal_middle	180 60  60  0
1133	ctx-lh-G_temp_sup-G_temp_tra	nsv_and_inte	rm_	S	60  60  220 0
1134	ctx-lh-G_temp_sup-Lateral_as	pect	220 60  220 0
1135	ctx-lh-G_temp_sup-Planum_pol	are	65  220 60  0
1136	ctx-lh-G_temp_sup-Planum_tem	polare	25  140 20  0
1137	ctx-lh-G_and_S_transverse_fr	ontopolar	13  0   250 0
1138	ctx-lh-Lat_Fissure-ant_sgt-r	amus_horizon	tal	61  20  220 0
1139	ctx-lh-Lat_Fissure-ant_sgt-r	amus_vertica	l	61  20  60  0
1140	ctx-lh-Lat_Fissure-post_sgt	61  60  100 0
1141	ctx-lh-Medial_wall	25  25  25  0
1142	ctx-lh-Pole_occipital	140 20  60  0
1143	ctx-lh-Pole_temporal	220 180 20  0
1144	ctx-lh-S_calcarine	63  180 180 0
1145	ctx-lh-S_central	221 20  10  0
1146	ctx-lh-S_central_insula	21  220 20  0
1147	ctx-lh-S_cingulate-Main_part	_and_Intraci	ngu	late	183 100 20  0
1148	ctx-lh-S_cingulate-Marginali	s_part	221 20  100 0
1149	ctx-lh-S_circular_insula_ant	erior	221 60  140 0
1150	ctx-lh-S_circular_insula_inf	erior	221 20  220 0
1151	ctx-lh-S_circular_insula_sup	erior	61  220 220 0
1152	ctx-lh-S_collateral_transver	se_ant	100 200 200 0
1153	ctx-lh-S_collateral_transver	se_post	10  200 200 0
1154	ctx-lh-S_frontal_inferior	221 220 20  0
1155	ctx-lh-S_frontal_middle	141 20  100 0
1156	ctx-lh-S_frontal_superior	61  220 100 0
1157	ctx-lh-S_frontomarginal	21  220 60  0
1158	ctx-lh-S_intermedius_primus-	Jensen	141 60  20  0
1159	ctx-lh-S_intraparietal-and_P	arietal_tran	sve	rse	143 20  220 0
1160	ctx-lh-S_occipital_anterior	61  20  180 0
1161	ctx-lh-S_occipital_middle_an	d_Lunatus	101 60  220 0
1162	ctx-lh-S_occipital_superior_	and_transver	sal	is	21  20  140 0
1163	ctx-lh-S_occipito-temporal_l	ateral	221 140 20  0
1164	ctx-lh-S_occipito-temporal_m	edial_and_S_	Lin	gual	141 100 220 0
1165	ctx-lh-S_orbital-H_shapped	101 20  20  0
1166	ctx-lh-S_orbital_lateral	221 100 20  0
1167	ctx-lh-S_orbital_medial-Or_o	lfactory	181 200 20  0
1168	ctx-lh-S_paracentral	21  180 140 0
1169	ctx-lh-S_parieto_occipital	101 100 180 0
1170	ctx-lh-S_pericallosal	181 220 20  0
1171	ctx-lh-S_postcentral	21  140 200 0
1172	ctx-lh-S_precentral-Inferior	-part	21  20  240 0
1173	ctx-lh-S_precentral-Superior	-part	21  20  200 0
1174	ctx-lh-S_subcentral_ant	61  180 60  0
1175	ctx-lh-S_subcentral_post	61  180 250 0
1176	ctx-lh-S_suborbital	21  20  60  0
1177	ctx-lh-S_subparietal	101 60  60  0
1178	ctx-lh-S_supracingulate	21  220 220 0
1179	ctx-lh-S_temporal_inferior	21  180 180 0
1180	ctx-lh-S_temporal_superior	223 220 60  0
1181	ctx-lh-S_temporal_transverse	221 60  60  0
					
2100	ctx-rh-Unknown	0   0   0   0
2101	ctx-rh-Corpus_callosum	50  50  50  0
2102	ctx-rh-G_and_S_Insula_ONLY_A	VERAGE	180 20  30  0
2103	ctx-rh-G_cingulate-Isthmus	60  25  25  0
2104	ctx-rh-G_cingulate-Main_part	25  60  60  0
					
2105	ctx-rh-G_cuneus	180 20  20  0
2106	ctx-rh-G_frontal_inf-Opercul	ar_part	220 20  100 0
2107	ctx-rh-G_frontal_inf-Orbital	_part	140 60  60  0
2108	ctx-rh-G_frontal_inf-Triangu	lar_part	180 220 140 0
2109	ctx-rh-G_frontal_middle	140 100 180 0
2110	ctx-rh-G_frontal_superior	180 20  140 0
2111	ctx-rh-G_frontomarginal	140 20  140 0
2112	ctx-rh-G_insular_long	21  10  10  0
2113	ctx-rh-G_insular_short	225 140 140 0
2114	ctx-rh-G_and_S_occipital_inf	erior	23  60  180 0
2115	ctx-rh-G_occipital_middle	180 60  180 0
2116	ctx-rh-G_occipital_superior	20  220 60  0
2117	ctx-rh-G_occipit-temp_lat-Or	_fusiform	60  20  140 0
2118	ctx-rh-G_occipit-temp_med-Li	ngual_part	220 180 140 0
2119	ctx-rh-G_occipit-temp_med-Pa	rahippocampa	l_p	art	65  100 20  0
2120	ctx-rh-G_orbital	220 60  20  0
2121	ctx-rh-G_paracentral	60  100 60  0
2122	ctx-rh-G_parietal_inferior-A	ngular_part	20  60  220 0
2123	ctx-rh-G_parietal_inferior-S	upramarginal	_pa	rt	100 100 60  0
2124	ctx-rh-G_parietal_superior	220 180 220 0
2125	ctx-rh-G_postcentral	20  180 140 0
2126	ctx-rh-G_precentral	60  140 180 0
2127	ctx-rh-G_precuneus	25  20  140 0
2128	ctx-rh-G_rectus	20  60  100 0
2129	ctx-rh-G_subcallosal	60  220 20  0
2130	ctx-rh-G_subcentral	60  20  220 0
2131	ctx-rh-G_temporal_inferior	220 220 100 0
2132	ctx-rh-G_temporal_middle	180 60  60  0
2133	ctx-rh-G_temp_sup-G_temp_tra	nsv_and_inte	rm_	S	60  60  220 0
2134	ctx-rh-G_temp_sup-Lateral_as	pect	220 60  220 0
2135	ctx-rh-G_temp_sup-Planum_pol	are	65  220 60  0
2136	ctx-rh-G_temp_sup-Planum_tem	polare	25  140 20  0
2137	ctx-rh-G_and_S_transverse_fr	ontopolar	13  0   250 0
2138	ctx-rh-Lat_Fissure-ant_sgt-r	amus_horizon	tal	61  20  220 0
2139	ctx-rh-Lat_Fissure-ant_sgt-r	amus_vertica	l	61  20  60  0
2140	ctx-rh-Lat_Fissure-post_sgt	61  60  100 0
2141	ctx-rh-Medial_wall	25  25  25  0
2142	ctx-rh-Pole_occipital	140 20  60  0
2143	ctx-rh-Pole_temporal	220 180 20  0
2144	ctx-rh-S_calcarine	63  180 180 0
2145	ctx-rh-S_central	221 20  10  0
2146	ctx-rh-S_central_insula	21  220 20  0
2147	ctx-rh-S_cingulate-Main_part	_and_Intraci	ngu	late	183 100 20  0
2148	ctx-rh-S_cingulate-Marginali	s_part	221 20  100 0
2149	ctx-rh-S_circular_insula_ant	erior	221 60  140 0
2150	ctx-rh-S_circular_insula_inf	erior	221 20  220 0
2151	ctx-rh-S_circular_insula_sup	erior	61  220 220 0
2152	ctx-rh-S_collateral_transver	se_ant	100 200 200 0
2153	ctx-rh-S_collateral_transver	se_post	10  200 200 0
2154	ctx-rh-S_frontal_inferior	221 220 20  0
2155	ctx-rh-S_frontal_middle	141 20  100 0
2156	ctx-rh-S_frontal_superior	61  220 100 0
2157	ctx-rh-S_frontomarginal	21  220 60  0
2158	ctx-rh-S_intermedius_primus-	Jensen	141 60  20  0
2159	ctx-rh-S_intraparietal-and_P	arietal_tran	sve	rse	143 20  220 0
2160	ctx-rh-S_occipital_anterior	61  20  180 0
2161	ctx-rh-S_occipital_middle_an	d_Lunatus	101 60  220 0
2162	ctx-rh-S_occipital_superior_	and_transver	sal	is	21  20  140 0
2163	ctx-rh-S_occipito-temporal_l	ateral	221 140 20  0
2164	ctx-rh-S_occipito-temporal_m	edial_and_S_	Lin	gual	141 100 220 0
2165	ctx-rh-S_orbital-H_shapped	101 20  20  0
2166	ctx-rh-S_orbital_lateral	221 100 20  0
2167	ctx-rh-S_orbital_medial-Or_o	lfactory	181 200 20  0
2168	ctx-rh-S_paracentral	21  180 140 0
2169	ctx-rh-S_parieto_occipital	101 100 180 0
2170	ctx-rh-S_pericallosal	181 220 20  0
2171	ctx-rh-S_postcentral	21  140 200 0
2172	ctx-rh-S_precentral-Inferior	-part	21  20  240 0
2173	ctx-rh-S_precentral-Superior	-part	21  20  200 0
2174	ctx-rh-S_subcentral_ant	61  180 60  0
2175	ctx-rh-S_subcentral_post	61  180 250 0
2176	ctx-rh-S_suborbital	21  20  60  0
2177	ctx-rh-S_subparietal	101 60  60  0
2178	ctx-rh-S_supracingulate	21  220 220 0
2179	ctx-rh-S_temporal_inferior	21  180 180 0
2180	ctx-rh-S_temporal_superior	223 220 60  0
2181	ctx-rh-S_temporal_transverse	221 60  60  0
					
					
2200	ctx-rh-G_cingulate-caudal_AC	C	25  60  61  0
2201	ctx-rh-G_cingulate-rostral_A	CC	25  90  60  0
2202	ctx-rh-G_cingulate-posterior	25  120 60  0
					
2205	ctx-rh-S_cingulate-caudal_AC	C	25  150 60  0
2206	ctx-rh-S_cingulate-rostral_A	CC	25  180 60  0
2207	ctx-rh-S_cingulate-posterior	25  210 60  0
					
2210	ctx-rh-S_pericallosal-caudal	25  150 90  0
2211	ctx-rh-S_pericallosal-rostra	l	25  180 90  0
2212	ctx-rh-S_pericallosal-poster	ior	25  210 90  0
					
3100	wm-lh-Unknown	0   0   0   0
3101	wm-lh-Corpus_callosum	50  50  50  0
3102	wm-lh-G_and_S_Insula_ONLY_AV	ERAGE	180 20  30  0
3103	wm-lh-G_cingulate-Isthmus	60  25  25  0
3104	wm-lh-G_cingulate-Main_part	25  60  60  0
3105	wm-lh-G_cuneus	180 20  20  0
3106	wm-lh-G_frontal_inf-Opercula	r_part	220 20  100 0
3107	wm-lh-G_frontal_inf-Orbital_	part	140 60  60  0
3108	wm-lh-G_frontal_inf-Triangul	ar_part	180 220 140 0
3109	wm-lh-G_frontal_middle	140 100 180 0
3110	wm-lh-G_frontal_superior	180 20  140 0
3111	wm-lh-G_frontomarginal	140 20  140 0
3112	wm-lh-G_insular_long	21  10  10  0
3113	wm-lh-G_insular_short	225 140 140 0
3114	wm-lh-G_and_S_occipital_infe	rior	23  60  180 0
3115	wm-lh-G_occipital_middle	180 60  180 0
3116	wm-lh-G_occipital_superior	20  220 60  0
3117	wm-lh-G_occipit-temp_lat-Or_	fusiform	60  20  140 0
3118	wm-lh-G_occipit-temp_med-Lin	gual_part	220 180 140 0
3119	wm-lh-G_occipit-temp_med-Par	ahippocampal	_pa	rt	65  100 20  0
3120	wm-lh-G_orbital	220 60  20  0
3121	wm-lh-G_paracentral	60  100 60  0
3122	wm-lh-G_parietal_inferior-An	gular_part	20  60  220 0
3123	wm-lh-G_parietal_inferior-Su	pramarginal_	par	t	100 100 60  0
3124	wm-lh-G_parietal_superior	220 180 220 0
3125	wm-lh-G_postcentral	20  180 140 0
3126	wm-lh-G_precentral	60  140 180 0
3127	wm-lh-G_precuneus	25  20  140 0
3128	wm-lh-G_rectus	20  60  100 0
3129	wm-lh-G_subcallosal	60  220 20  0
3130	wm-lh-G_subcentral	60  20  220 0
3131	wm-lh-G_temporal_inferior	220 220 100 0
3132	wm-lh-G_temporal_middle	180 60  60  0
3133	wm-lh-G_temp_sup-G_temp_tran	sv_and_inter	m_S	60  60  220 0
3134	wm-lh-G_temp_sup-Lateral_asp	ect	220 60  220 0
3135	wm-lh-G_temp_sup-Planum_pola	re	65  220 60  0
3136	wm-lh-G_temp_sup-Planum_temp	olare	25  140 20  0
3137	wm-lh-G_and_S_transverse_fro	ntopolar	13  0   250 0
3138	wm-lh-Lat_Fissure-ant_sgt-ra	mus_horizont	al	61  20  220 0
3139	wm-lh-Lat_Fissure-ant_sgt-ra	mus_vertical	61  20  60  0
3140	wm-lh-Lat_Fissure-post_sgt	61  60  100 0
3141	wm-lh-Medial_wall	25  25  25  0
3142	wm-lh-Pole_occipital	140 20  60  0
3143	wm-lh-Pole_temporal	220 180 20  0
3144	wm-lh-S_calcarine	63  180 180 0
3145	wm-lh-S_central	221 20  10  0
3146	wm-lh-S_central_insula	21  220 20  0
3147	wm-lh-S_cingulate-Main_part_	and_Intracin	gul	ate	183 100 20  0
3148	wm-lh-S_cingulate-Marginalis	_part	221 20  100 0
3149	wm-lh-S_circular_insula_ante	rior	221 60  140 0
3150	wm-lh-S_circular_insula_infe	rior	221 20  220 0
3151	wm-lh-S_circular_insula_supe	rior	61  220 220 0
3152	wm-lh-S_collateral_transvers	e_ant	100 200 200 0
3153	wm-lh-S_collateral_transvers	e_post	10  200 200 0
3154	wm-lh-S_frontal_inferior	221 220 20  0
3155	wm-lh-S_frontal_middle	141 20  100 0
3156	wm-lh-S_frontal_superior	61  220 100 0
3157	wm-lh-S_frontomarginal	21  220 60  0
3158	wm-lh-S_intermedius_primus-J	ensen	141 60  20  0
3159	wm-lh-S_intraparietal-and_Pa	rietal_trans	ver	se	143 20  220 0
3160	wm-lh-S_occipital_anterior	61  20  180 0
3161	wm-lh-S_occipital_middle_and	_Lunatus	101 60  220 0
3162	wm-lh-S_occipital_superior_a	nd_transvers	ali	s	21  20  140 0
3163	wm-lh-S_occipito-temporal_la	teral	221 140 20  0
3164	wm-lh-S_occipito-temporal_me	dial_and_S_L	ing	ual	141 100 220 0
3165	wm-lh-S_orbital-H_shapped	101 20  20  0
3166	wm-lh-S_orbital_lateral	221 100 20  0
3167	wm-lh-S_orbital_medial-Or_ol	factory	181 200 20  0
3168	wm-lh-S_paracentral	21  180 140 0
3169	wm-lh-S_parieto_occipital	101 100 180 0
3170	wm-lh-S_pericallosal	181 220 20  0
3171	wm-lh-S_postcentral	21  140 200 0
3172	wm-lh-S_precentral-Inferior-	part	21  20  240 0
3173	wm-lh-S_precentral-Superior-	part	21  20  200 0
3174	wm-lh-S_subcentral_ant	61  180 60  0
3175	wm-lh-S_subcentral_post	61  180 250 0
3176	wm-lh-S_suborbital	21  20  60  0
3177	wm-lh-S_subparietal	101 60  60  0
3178	wm-lh-S_supracingulate	21  220 220 0
3179	wm-lh-S_temporal_inferior	21  180 180 0
3180	wm-lh-S_temporal_superior	223 220 60  0
3181	wm-lh-S_temporal_transverse	221 60  60  0
					
4100	wm-rh-Unknown	0   0   0   0
4101	wm-rh-Corpus_callosum	50  50  50  0
4102	wm-rh-G_and_S_Insula_ONLY_AV	ERAGE	180 20  30  0
4103	wm-rh-G_cingulate-Isthmus	60  25  25  0
4104	wm-rh-G_cingulate-Main_part	25  60  60  0
4105	wm-rh-G_cuneus	180 20  20  0
4106	wm-rh-G_frontal_inf-Opercula	r_part	220 20  100 0
4107	wm-rh-G_frontal_inf-Orbital_	part	140 60  60  0
4108	wm-rh-G_frontal_inf-Triangul	ar_part	180 220 140 0
4109	wm-rh-G_frontal_middle	140 100 180 0
4110	wm-rh-G_frontal_superior	180 20  140 0
4111	wm-rh-G_frontomarginal	140 20  140 0
4112	wm-rh-G_insular_long	21  10  10  0
4113	wm-rh-G_insular_short	225 140 140 0
4114	wm-rh-G_and_S_occipital_infe	rior	23  60  180 0
4115	wm-rh-G_occipital_middle	180 60  180 0
4116	wm-rh-G_occipital_superior	20  220 60  0
4117	wm-rh-G_occipit-temp_lat-Or_	fusiform	60  20  140 0
4118	wm-rh-G_occipit-temp_med-Lin	gual_part	220 180 140 0
4119	wm-rh-G_occipit-temp_med-Par	ahippocampal	_pa	rt	65  100 20  0
4120	wm-rh-G_orbital	220 60  20  0
4121	wm-rh-G_paracentral	60  100 60  0
4122	wm-rh-G_parietal_inferior-An	gular_part	20  60  220 0
4123	wm-rh-G_parietal_inferior-Su	pramarginal_	par	t	100 100 60  0
4124	wm-rh-G_parietal_superior	220 180 220 0
4125	wm-rh-G_postcentral	20  180 140 0
4126	wm-rh-G_precentral	60  140 180 0
4127	wm-rh-G_precuneus	25  20  140 0
4128	wm-rh-G_rectus	20  60  100 0
4129	wm-rh-G_subcallosal	60  220 20  0
4130	wm-rh-G_subcentral	60  20  220 0
4131	wm-rh-G_temporal_inferior	220 220 100 0
4132	wm-rh-G_temporal_middle	180 60  60  0
4133	wm-rh-G_temp_sup-G_temp_tran	sv_and_inter	m_S	60  60  220 0
4134	wm-rh-G_temp_sup-Lateral_asp	ect	220 60  220 0
4135	wm-rh-G_temp_sup-Planum_pola	re	65  220 60  0
4136	wm-rh-G_temp_sup-Planum_temp	olare	25  140 20  0
4137	wm-rh-G_and_S_transverse_fro	ntopolar	13  0   250 0
4138	wm-rh-Lat_Fissure-ant_sgt-ra	mus_horizont	al	61  20  220 0
4139	wm-rh-Lat_Fissure-ant_sgt-ra	mus_vertical	61  20  60  0
4140	wm-rh-Lat_Fissure-post_sgt	61  60  100 0
4141	wm-rh-Medial_wall	25  25  25  0
4142	wm-rh-Pole_occipital	140 20  60  0
4143	wm-rh-Pole_temporal	220 180 20  0
4144	wm-rh-S_calcarine	63  180 180 0
4145	wm-rh-S_central	221 20  10  0
4146	wm-rh-S_central_insula	21  220 20  0
4147	wm-rh-S_cingulate-Main_part_	and_Intracin	gul	ate	183 100 20  0
4148	wm-rh-S_cingulate-Marginalis	_part	221 20  100 0
4149	wm-rh-S_circular_insula_ante	rior	221 60  140 0
4150	wm-rh-S_circular_insula_infe	rior	221 20  220 0
4151	wm-rh-S_circular_insula_supe	rior	61  220 220 0
4152	wm-rh-S_collateral_transvers	e_ant	100 200 200 0
4153	wm-rh-S_collateral_transvers	e_post	10  200 200 0
4154	wm-rh-S_frontal_inferior	221 220 20  0
4155	wm-rh-S_frontal_middle	141 20  100 0
4156	wm-rh-S_frontal_superior	61  220 100 0
4157	wm-rh-S_frontomarginal	21  220 60  0
4158	wm-rh-S_intermedius_primus-J	ensen	141 60  20  0
4159	wm-rh-S_intraparietal-and_Pa	rietal_trans	ver	se	143 20  220 0
4160	wm-rh-S_occipital_anterior	61  20  180 0
4161	wm-rh-S_occipital_middle_and	_Lunatus	101 60  220 0
4162	wm-rh-S_occipital_superior_a	nd_transvers	ali	s	21  20  140 0
4163	wm-rh-S_occipito-temporal_la	teral	221 140 20  0
4164	wm-rh-S_occipito-temporal_me	dial_and_S_L	ing	ual	141 100 220 0
4165	wm-rh-S_orbital-H_shapped	101 20  20  0
4166	wm-rh-S_orbital_lateral	221 100 20  0
4167	wm-rh-S_orbital_medial-Or_ol	factory	181 200 20  0
4168	wm-rh-S_paracentral	21  180 140 0
4169	wm-rh-S_parieto_occipital	101 100 180 0
4170	wm-rh-S_pericallosal	181 220 20  0
4171	wm-rh-S_postcentral	21  140 200 0
4172	wm-rh-S_precentral-Inferior-	part	21  20  240 0
4173	wm-rh-S_precentral-Superior-	part	21  20  200 0
4174	wm-rh-S_subcentral_ant	61  180 60  0
4175	wm-rh-S_subcentral_post	61  180 250 0
4176	wm-rh-S_suborbital	21  20  60  0
4177	wm-rh-S_subparietal	101 60  60  0
4178	wm-rh-S_supracingulate	21  220 220 0
4179	wm-rh-S_temporal_inferior	21  180 180 0
4180	wm-rh-S_temporal_superior	223 220 60  0
4181	wm-rh-S_temporal_transverse	221 60  60  0
					
5001	Left-UnsegmentedWhiteMatter	20  30  40  0
5002	Right-UnsegmentedWhiteMatter	20  30  40  0
					
# Be	low is the color table for white	-matter path	way	s pro	duced by dmri_paths
					
#No.	Label Name:	R   G   B   A
#	
5100	fmajor	204 102 102 0
5101	fminor	204 102 102 0
#	
5102	lh.atr	255 255 102 0
5103	lh.cab	153 204 0   0
5104	lh.ccg	0   153 153 0
5105	lh.cst	204 153 255 0
5106	lh.ilf	255 153 51  0
5107	lh.slfp	204 204 204 0
5108	lh.slft	153 255 255 0
5109	lh.unc	102 153 255 0
#	
5110	rh.atr	255 255 102 0
5111	rh.cab	153 204 0   0
5112	rh.ccg	0   153 153 0
5113	rh.cst	204 153 255 0
5114	rh.ilf	255 153 51  0
5115	rh.slfp	204 204 204 0
5116	rh.slft	153 255 255 0
5117	rh.unc	102 153 255 0
	
# Th	ese are the same tracula labels	as above in	hum	an-re	adable form
5200	CC-ForcepsMajor	204 102 102 0
5201	CC-ForcepsMinor	204 102 102 0
5202	LAntThalRadiation	255 255 102 0
5203	LCingulumAngBundle	153 204 0   0
5204	LCingulumCingGyrus	0   153 153 0
5205	LCorticospinalTract	204 153 255 0
5206	LInfLongFas	255 153 51  0
5207	LSupLongFasParietal	204 204 204 0
5208	LSupLongFasTemporal	153 255 255 0
5209	LUncinateFas	102 153 255 0
5210	RAntThalRadiation	255 255 102 0
5211	RCingulumAngBundle	153 204 0   0
5212	RCingulumCingGyrus	0   153 153 0
5213	RCorticospinalTract	204 153 255 0
5214	RInfLongFas	255 153 51  0
5215	RSupLongFasParietal	204 204 204 0
5216	RSupLongFasTemporal	153 255 255 0
5217	RUncinateFas	102 153 255 0
					
####	################################	####	
					
6000	CST-orig	0   255 0   0
6001	CST-hammer	255 255 0   0
6002	CST-CVS	0   255 255 0
6003	CST-flirt	0   0   255 0
					
6010	Left-SLF1	236 16  231 0
6020	Right-SLF1	237 18  232 0
					
6030	Left-SLF3	236 13  227 0
6040	Right-SLF3	236 17  228 0
					
6050	Left-CST	1   255 1   0
6060	Right-CST	2   255 1   0
					
6070	Left-SLF2	236 14  230 0
6080	Right-SLF2	237 14  230 0
					
#No.	Label Name:	R   G   B   A
					
7001	Lateral-nucleus	72  132 181 0
7002	Basolateral-nucleus	243 243 243 0
7003	Basal-nucleus	207 63  79  0
7004	Centromedial-nucleus	121 20  135 0
7005	Central-nucleus	197 60  248 0
7006	Medial-nucleus	2   149 2   0
7007	Cortical-nucleus	221 249 166 0
7008	Accessory-Basal-nucleus	232 146 35  0
7009	Corticoamygdaloid-transitio	20  60  120 0
7010	Anterior-amygdaloid-area-AAA	250 250 0   0
7011	Fusion-amygdala-HP-FAH	122 187 222 0
7012	Hippocampal-amygdala-transitio	n-HATA	237 12  177 0
7013	Endopiriform-nucleus	10  49  255 0
7014	Lateral-nucleus-olfactory-trac	t	205 184 144 0
7015	Paralaminar-nucleus	45  205 165 0
7016	Intercalated-nucleus	117 160 175 0
7017	Prepiriform-cortex	221 217 21  0
7018	Periamygdaloid-cortex	20  60  120 0
7019	Envelope-Amygdala	141 21  100 0
7020	Extranuclear-Amydala	225 140 141 0
					
7100	Brainstem-inferior-colliculus	42  201 168 0
7101	Brainstem-cochlear-nucleus	168 104 162 0
					
8001	Thalamus-Anterior	74  130 181 0
8002	Thalamus-Ventral-anterior	242 241 240 0
8003	Thalamus-Lateral-dorsal	206 65  78  0
8004	Thalamus-Lateral-posterior	120 21  133 0
8005	Thalamus-Ventral-lateral	195 61  246 0
8006	Thalamus-Ventral-posterior-med	ial	3   147 6   0
8007	Thalamus-Ventral-posterior-lat	eral	220 251 163 0
8008	Thalamus-intralaminar	232 146 33  0
8009	Thalamus-centromedian	4   114 14  0
8010	Thalamus-mediodorsal	121 184 220 0
8011	Thalamus-medial	235 11  175 0
8012	Thalamus-pulvinar	12  46  250 0
8013	Thalamus-lateral-geniculate	203 182 143 0
8014	Thalamus-medial-geniculate	42  204 167 0
					
#	
# La	bels for thalamus parcellation u	sing probabi	lis	tic t	ractography. See:
# Fu	nctional--Anatomical Validation	and Individu	al	Varia	tion of Diffusion
# Tr	actography-based Segmentation of	the Human T	hal	"amus;"	Cerebral Cortex
# Ja	"nuary 2005;15:31--39, doi:10.109"	3/cercor/bhh	105	, Adv	ance Access
# pu	blication July 6, 2004	
#	
					
#No.	Label Name:	R	G	B	A
9000	ctx-lh-prefrontal	50	100	30	0
9001	ctx-lh-primary-motor	30	100	45	0
9002	ctx-lh-premotor	130	100	165	0
9003	ctx-lh-temporal	105	25	5	0
9004	ctx-lh-posterior-parietal	125	70	55	0
9005	ctx-lh-prim-sec-somatosensor	y       225	20	105	0
9006	ctx-lh-occipital	225	20	15	0
					
9500	ctx-rh-prefrontal	50	200	30	0
9501	ctx-rh-primary-motor	30	150	45	0
9502	ctx-rh-premotor	130	150	165	0
9503	ctx-rh-temporal	105	75	5	0
9504	ctx-rh-posterior-parietal	125	120	55	0
9505	ctx-rh-prim-sec-somatosensor	y       225	70	105	0
9506	ctx-rh-occipital	225	70	15	0
					
# Be	low is the color table for the c	ortical labe	ls	of th	e seg volume
# cr	eated by mri_aparc2aseg (with --	a2009s flag)	in	whic	h the aseg
# co	rtex label is replaced by the la	bels in the	apa	rc.a2	009s. The
# co	rtical labels are the same as in	Simple_surf	ace	_labe	ls2009.txt,
# ex	cept that left hemisphere has 11	100 added to	th	e ind	ex and the
# ri	ght has 12100 added.  The label	names are al	so	prepe	nded with
# ct	x_lh_, ctx_rh_, wm_lh_ and wm_rh	_ (note usag	e o	f _ i	nstead of -
# to	differentiate from a2005s label	s).	
					
#No.	Label Name:	R	G	B   A
1110	0  ctx_lh_Unknown	0	0	0   0
1110	1  ctx_lh_G_and_S_frontomargin	2	3 2	20  6	0   0
1110	2  ctx_lh_G_and_S_occipital_inf	2	3	60 18	0   0
1110	3  ctx_lh_G_and_S_paracentral	6	3 1	00  6	0   0
1110	4  ctx_lh_G_and_S_subcentral	6	3	20 22	0   0
1110	5  ctx_lh_G_and_S_transv_frontop	ol         1	3	0 25	0   0
1110	6  ctx_lh_G_and_S_cingul-Ant	2	6	60	0   0
1110	7  ctx_lh_G_and_S_cingul-Mid-Ant	2	6	60  7	5   0
1110	8  ctx_lh_G_and_S_cingul-Mid-Pos	t          2	6	60 15	0   0
1110	9  ctx_lh_G_cingul-Post-dorsal	2	5	60 25	0   0
1111	0  ctx_lh_G_cingul-Post-ventral	6	0	25  2	5   0
1111	1  ctx_lh_G_cuneus	18	0	20  2	0   0
1111	2  ctx_lh_G_front_inf-Opercular	22	0	20 10	0   0
1111	3  ctx_lh_G_front_inf-Orbital	14	0	60  6	0   0
1111	4  ctx_lh_G_front_inf-Triangul	18	0 2	20 14	0   0
1111	5  ctx_lh_G_front_middle	14	0 1	00 18	0   0
1111	6  ctx_lh_G_front_sup	18	0	20 14	0   0
1111	7  ctx_lh_G_Ins_lg_and_S_cent_in	s          2	3	10  1	0   0
1111	8  ctx_lh_G_insular_short	22	5 1	40 14	0   0
1111	9  ctx_lh_G_occipital_middle	18	0	60 18	0   0
1112	0  ctx_lh_G_occipital_sup	2	0 2	20  6	0   0
1112	1  ctx_lh_G_oc-temp_lat-fusifor	6	0	20 14	0   0
1112	2  ctx_lh_G_oc-temp_med-Lingual	22	0 1	80 14	0   0
1112	3  ctx_lh_G_oc-temp_med-Parahip	6	5 1	00  2	0   0
1112	4  ctx_lh_G_orbital	22	0	60  2	0   0
1112	5  ctx_lh_G_pariet_inf-Angular	2	0	60 22	0   0
1112	6  ctx_lh_G_pariet_inf-Supramar	10	0 1	00  6	0   0
1112	7  ctx_lh_G_parietal_sup	22	0 1	80 22	0   0
1112	8  ctx_lh_G_postcentral	2	0 1	80 14	0   0
1112	9  ctx_lh_G_precentral	6	0 1	40 18	0   0
1113	0  ctx_lh_G_precuneus	2	5	20 14	0   0
1113	1  ctx_lh_G_rectus	2	0	60 10	0   0
1113	2  ctx_lh_G_subcallosal	6	0 2	20  2	0   0
1113	3  ctx_lh_G_temp_sup-G_T_transv	6	0	60 22	0   0
1113	4  ctx_lh_G_temp_sup-Lateral	22	0	60 22	0   0
1113	5  ctx_lh_G_temp_sup-Plan_polar	6	5 2	20  6	0   0
1113	6  ctx_lh_G_temp_sup-Plan_tempo	2	5 1	40  2	0   0
1113	7  ctx_lh_G_temporal_inf	22	0 2	20 10	0   0
1113	8  ctx_lh_G_temporal_middle	18	0	60  6	0   0
1113	9  ctx_lh_Lat_Fis-ant-Horizont	6	1	20 22	0   0
